@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
221,282,226,20,390,0.04878,0.555118,0.933775,0.555118,0.066225,0.696296,0.328976,1.687412,0.855
222,281,227,20,390,0.04878,0.55315,0.933555,0.55315,0.066445,0.694685,0.327887,1.687014,0.856
223,280,228,20,390,0.04878,0.551181,0.933333,0.551181,0.066667,0.693069,0.326797,1.686614,0.857586
224,279,229,20,390,0.04878,0.549213,0.93311,0.549213,0.06689,0.69145,0.325708,1.686211,0.86
225,269,239,20,390,0.04878,0.529528,0.930796,0.529528,0.069204,0.675031,0.314815,1.682029,0.860385
226,268,240,20,390,0.04878,0.527559,0.930556,0.527559,0.069444,0.673367,0.313725,1.681594,0.861667
227,267,241,20,390,0.04878,0.525591,0.930314,0.525591,0.069686,0.671698,0.312636,1.681157,0.862063
228,266,242,20,390,0.04878,0.523622,0.93007,0.523622,0.06993,0.670025,0.311547,1.680717,0.86945
229,265,243,20,390,0.04878,0.521654,0.929825,0.521654,0.070175,0.668348,0.310458,1.680274,0.87
230,253,255,19,391,0.046341,0.498031,0.930147,0.498031,0.069853,0.648718,0.296296,1.680856,0.88
231,248,260,18,392,0.043902,0.488189,0.932331,0.488189,0.067669,0.640827,0.28976,1.684803,0.880621
232,248,260,17,393,0.041463,0.488189,0.935849,0.488189,0.064151,0.641656,0.288671,1.69116,0.8825
233,247,261,17,393,0.041463,0.48622,0.935606,0.48622,0.064394,0.639896,0.287582,1.690721,0.885
234,247,261,16,394,0.039024,0.48622,0.939163,0.48622,0.060837,0.640726,0.286492,1.69715,0.886
235,246,262,16,394,0.039024,0.484252,0.938931,0.484252,0.061069,0.638961,0.285403,1.69673,0.887586
236,245,263,16,394,0.039024,0.482283,0.938697,0.482283,0.061303,0.637191,0.284314,1.696307,0.888109
237,244,264,16,394,0.039024,0.480315,0.938462,0.480315,0.061538,0.635417,0.283224,1.695881,0.89
