@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
175,270,140,12,496,0.023622,0.658537,0.957447,0.658537,0.042553,0.780347,0.30719,2.143747,0.6
176,269,141,12,496,0.023622,0.656098,0.957295,0.656098,0.042705,0.778582,0.3061,2.143408,0.607619
177,268,142,12,496,0.023622,0.653659,0.957143,0.653659,0.042857,0.776812,0.305011,2.143066,0.61
178,265,145,12,496,0.023622,0.646341,0.956679,0.646341,0.043321,0.77147,0.301743,2.142027,0.619643
179,264,146,12,496,0.023622,0.643902,0.956522,0.643902,0.043478,0.769679,0.300654,2.141676,0.62
180,261,149,12,496,0.023622,0.636585,0.956044,0.636585,0.043956,0.764275,0.297386,2.140606,0.62542
181,260,150,12,496,0.023622,0.634146,0.955882,0.634146,0.044118,0.762463,0.296296,2.140244,0.63
182,258,152,12,496,0.023622,0.629268,0.955556,0.629268,0.044444,0.758824,0.294118,2.139512,0.633
183,257,153,12,496,0.023622,0.626829,0.95539,0.626829,0.04461,0.756996,0.293028,2.139142,0.64
184,253,157,12,496,0.023622,0.617073,0.954717,0.617073,0.045283,0.74963,0.288671,2.137635,0.6525
185,252,158,12,496,0.023622,0.614634,0.954545,0.614634,0.045455,0.747774,0.287582,2.137251,0.655
186,251,159,12,496,0.023622,0.612195,0.954373,0.612195,0.045627,0.745914,0.286492,2.136864,0.656
187,250,160,12,496,0.023622,0.609756,0.954198,0.609756,0.045802,0.744048,0.285403,2.136474,0.66
188,245,165,12,496,0.023622,0.597561,0.953307,0.597561,0.046693,0.734633,0.279956,2.134479,0.669
189,244,166,12,496,0.023622,0.595122,0.953125,0.595122,0.046875,0.732733,0.278867,2.13407,0.67
190,242,168,12,496,0.023622,0.590244,0.952756,0.590244,0.047244,0.728916,0.276688,2.133244,0.671351
191,242,168,11,497,0.021654,0.590244,0.956522,0.590244,0.043478,0.730015,0.275599,2.141676,0.671429
192,241,169,11,497,0.021654,0.587805,0.956349,0.587805,0.043651,0.728097,0.27451,2.141289,0.674
193,240,170,11,497,0.021654,0.585366,0.956175,0.585366,0.043825,0.726172,0.27342,2.1409,0.68
194,237,173,11,497,0.021654,0.578049,0.955645,0.578049,0.044355,0.720365,0.270153,2.139713,0.683333
195,236,174,11,497,0.021654,0.57561,0.955466,0.57561,0.044534,0.718417,0.269063,2.139311,0.69
196,236,174,10,498,0.019685,0.57561,0.95935,0.57561,0.04065,0.719512,0.267974,2.148007,0.692
197,235,175,10,498,0.019685,0.573171,0.959184,0.573171,0.040816,0.717557,0.266885,2.147636,0.696481
198,234,176,10,498,0.019685,0.570732,0.959016,0.570732,0.040984,0.715596,0.265795,2.147261,0.698637
199,233,177,10,498,0.019685,0.568293,0.958848,0.568293,0.041152,0.713629,0.264706,2.146883,0.7
200,228,182,10,498,0.019685,0.556098,0.957983,0.556098,0.042017,0.703704,0.259259,2.144948,0.71
201,226,184,10,498,0.019685,0.55122,0.957627,0.55122,0.042373,0.69969,0.257081,2.14415,0.712912
202,225,185,10,498,0.019685,0.54878,0.957447,0.54878,0.042553,0.697674,0.255991,2.143747,0.714444
203,224,186,10,498,0.019685,0.546341,0.957265,0.546341,0.042735,0.695652,0.254902,2.14334,0.726429
204,223,187,10,498,0.019685,0.543902,0.957082,0.543902,0.042918,0.693624,0.253813,2.142929,0.73
205,219,191,10,498,0.019685,0.534146,0.956332,0.534146,0.043668,0.685446,0.249455,2.14125,0.735682
206,218,192,10,498,0.019685,0.531707,0.95614,0.531707,0.04386,0.683386,0.248366,2.140822,0.74
207,217,193,10,498,0.019685,0.529268,0.955947,0.529268,0.044053,0.681319,0.247277,2.140389,0.748111
208,216,194,10,498,0.019685,0.526829,0.955752,0.526829,0.044248,0.679245,0.246187,2.139953,0.75
209,213,197,10,498,0.019685,0.519512,0.955157,0.519512,0.044843,0.672986,0.242919,2.13862,0.758333
210,212,198,10,498,0.019685,0.517073,0.954955,0.517073,0.045045,0.670886,0.24183,2.138167,0.759
211,211,199,10,498,0.019685,0.514634,0.954751,0.514634,0.045249,0.66878,0.240741,2.137711,0.76
212,209,201,10,498,0.019685,0.509756,0.954338,0.509756,0.045662,0.664547,0.238562,2.136786,0.77
213,204,206,8,500,0.015748,0.497561,0.962264,0.497561,0.037736,0.655949,0.230937,2.154533,0.78
214,204,206,7,501,0.01378,0.497561,0.966825,0.497561,0.033175,0.657005,0.229847,2.164744,0.784
215,203,207,7,501,0.01378,0.495122,0.966667,0.495122,0.033333,0.654839,0.228758,2.16439,0.788333
216,202,208,7,501,0.01378,0.492683,0.966507,0.492683,0.033493,0.652666,0.227669,2.164033,0.79
217,199,211,6,502,0.011811,0.485366,0.970732,0.485366,0.029268,0.647154,0.223312,2.173492,0.8
218,193,217,5,503,0.009843,0.470732,0.974747,0.470732,0.025253,0.634868,0.215686,2.182483,0.805333
219,192,218,5,503,0.009843,0.468293,0.974619,0.468293,0.025381,0.632619,0.214597,2.182196,0.81
220,185,225,5,503,0.009843,0.45122,0.973684,0.45122,0.026316,0.616667,0.206972,2.180103,0.819487
221,184,226,5,503,0.009843,0.44878,0.973545,0.44878,0.026455,0.614357,0.205882,2.179791,0.82
222,178,232,5,503,0.009843,0.434146,0.972678,0.434146,0.027322,0.600337,0.199346,2.177849,0.83
223,176,234,5,503,0.009843,0.429268,0.972376,0.429268,0.027624,0.595601,0.197168,2.177173,0.830648
224,175,235,5,503,0.009843,0.426829,0.972222,0.426829,0.027778,0.59322,0.196078,2.176829,0.832857
225,174,236,5,503,0.009843,0.42439,0.972067,0.42439,0.027933,0.590832,0.194989,2.176482,0.84
226,172,238,5,503,0.009843,0.419512,0.971751,0.419512,0.028249,0.586031,0.19281,2.175775,0.845
227,171,239,4,504,0.007874,0.417073,0.977143,0.417073,0.022857,0.584615,0.190632,2.187847,0.85
228,167,243,4,504,0.007874,0.407317,0.976608,0.407317,0.023392,0.574871,0.186275,2.18665,0.856364
229,166,244,4,504,0.007874,0.404878,0.976471,0.404878,0.023529,0.572414,0.185185,2.186341,0.86
230,161,249,4,504,0.007874,0.392683,0.975758,0.392683,0.024242,0.56,0.179739,2.184745,0.87
231,156,254,4,504,0.007874,0.380488,0.975,0.380488,0.025,0.547368,0.174292,2.183049,0.879412
232,155,255,4,504,0.007874,0.378049,0.974843,0.378049,0.025157,0.544815,0.173203,2.182697,0.88
233,150,260,4,504,0.007874,0.365854,0.974026,0.365854,0.025974,0.531915,0.167756,2.180868,0.89
234,144,266,3,505,0.005906,0.35122,0.979592,0.35122,0.020408,0.517056,0.160131,2.19333,0.9
235,139,271,3,505,0.005906,0.339024,0.978873,0.339024,0.021127,0.503623,0.154684,2.191721,0.91
236,134,276,2,506,0.003937,0.326829,0.985294,0.326829,0.014706,0.490842,0.148148,2.206098,0.914493
237,133,277,2,506,0.003937,0.32439,0.985185,0.32439,0.014815,0.488073,0.147059,2.205854,0.915
